year,word
1800,0.0002197853048073739
1801,0.00021844217444595416
1802,0.00021929483227722812
1803,0.00021552477911817344
1804,0.00021209829589809357
1805,0.00021151231417856513
1806,0.0002217441308727887
1807,0.00023662077637709444
1808,0.0002468210019027798
1809,0.00025387905757919986
1810,0.0002668061702674355
1811,0.0002742802657199458
1812,0.00027643776073611146
1813,0.0002797385087822996
1814,0.000273868385582838
1815,0.0002670672817787688
1816,0.00026210247337335853
1817,0.00025891596461795937
1818,0.0002573341548018756
1819,0.00025907645938007457
1820,0.0002582497893724524
1821,0.00026106660386306297
1822,0.00026472488571016584
1823,0.00026905467452057304
1824,0.000264906873910929
1825,0.0002644088603379454
1826,0.0002624136493198291
1827,0.00026507039768018464
1828,0.00026222894276933014
1829,0.0002622000517606336
1830,0.00026540032948625073
1831,0.00026752372455770716
1832,0.00026385204364487436
1833,0.00026236744776854593
1834,0.00025643698414309517
1835,0.00025191543565077675
1836,0.0002553639716487461
1837,0.00024912543540267507
1838,0.000251329451332692
1839,0.0002624564341593733
1840,0.0002733265381331356
1841,0.0002827704101946438
1842,0.000289018605014592
1843,0.00028657138786262034
1844,0.00028800966252414843
1845,0.0002868768206099048
1846,0.0002778656741741413
1847,0.0002688481779062256
1848,0.00025950050076062325
1849,0.0002562940758902447
1850,0.00025507884544952376
1851,0.000255423023190815
1852,0.0002576842468572847
1853,0.0002579482991547723
1854,0.0002557627259583179
1855,0.00025436791708801005
1856,0.0002563253791387459
1857,0.0002572305643947662
1858,0.0002541269623179687
1859,0.0002544798478213904
1860,0.00025953027086091297
1861,0.00026006766815303957
1862,0.000259992335226603
1863,0.00025799779255716464
1864,0.0002577561008365592
1865,0.00025898684595761424
1866,0.00025736983739729373
1867,0.0002566824103788739
1868,0.00026747188037136633
1869,0.00027078858199404616
1870,0.00027396129605352016
1871,0.0002731611610735334
1872,0.00027430150709863355
1873,0.0002721353076984607
1874,0.00026678660183928775
1875,0.00025601155539334286
1876,0.000252804761527971
1877,0.0002489792456929406
1878,0.00024663516731899496
1879,0.0002453651169551969
1880,0.000246151339784514
1881,0.0002463715817222172
1882,0.00024369287530134898
1883,0.00024043873885862662
1884,0.00023932042261419286
1885,0.00023756584726340537
1886,0.00023596572334229547
1887,0.00023293879712582566
1888,0.0002322156862127096
1889,0.0002335321665408888
1890,0.0002355766170824479
1891,0.00023449658082037267
1892,0.0002336574929618759
1893,0.00023181537523799176
1894,0.0002322764973671708
1895,0.00023017292044512163
1896,0.00023001055849038363
1897,0.00023029108537489913
1898,0.00023165788596608245
1899,0.00023128941614101808
1900,0.00023058369996371248
1901,0.00022777642789151287
1902,0.0002250644925620041
1903,0.00022097083092376124
1904,0.0002187452098171759
1905,0.00021528361711326788
1906,0.00021380868825612457
1907,0.0002122224350387114
1908,0.0002108450506576836
1909,0.00021088079587830829
1910,0.00020961193474379667
1911,0.00020605993306941982
1912,0.00020227435288688866
1913,0.00019904935249672105
1914,0.00019875726710389633
1915,0.000197767397366988
1916,0.00019555900871637277
1917,0.00019318314194346646
1918,0.0001931368914093972
1919,0.00019474946150564522
1920,0.00019576943902523326
1921,0.0001959385489109471
1922,0.00019730674427721948
1923,0.00019926130932747453
1924,0.00020168196026913523
1925,0.00020180387790398008
1926,0.00020163834700984547
1927,0.00020056367520737695
1928,0.00019928383751123744
1929,0.00019823681759589817
1930,0.00019571298980736174
1931,0.00019372499614941522
1932,0.0001933916410052916
1933,0.00019389148136334758
1934,0.00019213782473213672
1935,0.00018985654112059692
1936,0.0001859620337459741
1937,0.00018499806109113187
1938,0.00018232124070241947
1939,0.0001784677207459546
1940,0.00017474290208545947
1941,0.00017506995625028919
1942,0.0001751891906159082
1943,0.00017736036287325466
1944,0.00017926436222686398
1945,0.00018125020791818054
1946,0.00018285359341721884
1947,0.00018498913544005648
1948,0.0001851023497303166
1949,0.00018648877513831913
1950,0.00018492099492764934
1951,0.00018243425308485582
1952,0.0001837700931771126
1953,0.000186502184078563
1954,0.0001908131389427581
1955,0.00019256445271561719
1956,0.00019231882963919946
1957,0.00019429309785274588
1958,0.00019637367417349845
1959,0.00019536611814276381
1960,0.000194660548524033
1961,0.00019032476887202523
1962,0.00018895266839535907
1963,0.00018835432443406068
1964,0.00018696345211667773
1965,0.00018642186179412031
1966,0.00018514676542378893
1967,0.00018319229807925045
1968,0.0001806900019281394
1969,0.00017984940106024233
1970,0.0001781888240657281
1971,0.00017580823129849575
1972,0.00017246291840170412
1973,0.00017072803504041597
1974,0.00016942582936150887
1975,0.00016885837690746745
1976,0.0001663999142432918
1977,0.00016557556097853064
1978,0.00016663318716122634
1979,0.00016858842393828257
1980,0.0001707919288622049
1981,0.00017156535601056281
1982,0.0001728700852774117
1983,0.0001763485749636727
1984,0.00017918954914161338
1985,0.00018032772978975636
1986,0.00018093816834152676
1987,0.00018121934226655867
1988,0.00018241552502981252
1989,0.00018291151874499128
1990,0.00018270502940660144
1991,0.00018305867836586134
1992,0.00018418299701547118
1993,0.00018499523165311466
1994,0.0001858803352661198
1995,0.0001855952562306941
1996,0.00018679036293178797
1997,0.0001874482225373088
1998,0.00018777977753156198
1999,0.00018717656998238193
2000,0.00018820092632917555
2001,0.00018972492606345831
2002,0.00019081567249183232
2003,0.00019116829680569937
2004,0.00019214390204069787
